Tipo,Prov_Ciudad,Zona,Calle,Precio,Metros,Habitación,Baños
Piso,Barcelona,Eixample esquerra,calle Rosellón,1350,80,2,1
Piso,Barcelona,NA,Eixample dreta,1600,85,4,2
Piso,Barcelona,NA,La Bordeta,975,58,1,1
Piso,Barcelona,NA,Ciutat  Vella,1600,67,2,2
Piso,Barcelona,Navas,paseo Maragall,950,69,3,1
Piso,Barcelona,Fort Pienc,calle Del General Mitre,1200,55,2,1
Piso,Barcelona,NA,Sant Gervasi – La Bonanova,1450,55,1,1
Piso,Barcelona,Vila de Gràcia,calle Del Prat,1050,45,1,1
Piso,Barcelona,NA,Ciutat  Vella,1350,55,1,1
Ático,Barcelona,NA,La Sagrada Família,1900,81,2,1
Piso,Barcelona,Eixample esquerra,calle De Muntaner,1475,95,3,2
Piso,Barcelona,NA,El Putxet i Farró,1700,100,4,2
Piso,Barcelona,La Barceloneta,calle Balboa,1650,90,4,1
Piso,Barcelona,La Font de la Guatlla,calle Gran Via de Les Corts Catalan,850,70,3,1
Piso,Barcelona,NA,Ciutat  Vella,1600,102,2,2
Piso,Barcelona,El Poble Sec-Montjuïc,calle Jaume Fabra,1500,71,3,1
Piso,Barcelona,NA,Sant Gervasi – Galvany,1150,55,2,1
Piso,Barcelona,El Raval,calle De Bailèn,2800,120,3,2
Piso,Barcelona,El Putxet i Farró,calle De la Costa,1100,65,2,1
Piso,Barcelona,El Gótic,calle El Gòtic,1100,60,2,1
Piso,Barcelona,NA,Sants,1600,85,4,2
Piso,Barcelona,El Raval,calle De la Morera,850,46,2,1
Apartamento,Barcelona,NA,La Barceloneta,1000,35,1,1
Piso,Barcelona,Diagonal Mar,calle Josep Pla,1700,85,3,2
Piso,Barcelona,Sant Gervasi – La Bonanova,calle General Mitre,1400,48,2,1
Piso,Barcelona,El Poblenou,calle Fernando Poo,900,49,2,1
Ático,Barcelona,NA,El Parc i la Llacuna,1800,70,3,1
Piso,Barcelona,NA,El Raval,2100,80,4,2
Piso,Barcelona,Eixample dreta,calle Rossello,1100,50,1,1
Piso,Barcelona,NA,El Poblenou,1950,105,3,2
Piso,Barcelona,El Poblenou,calle Roc de Boronat,1390,76,2,1
Piso,Barcelona,NA,Sarrià,1800,65,2,1
Piso,Barcelona,Trinitat Vella,calle Almassora,710,43,1,1
Piso,Barcelona,Les corts,calle Burdeos,1500,90,3,1
Apartamento,Barcelona,NA,La Teixonera,1600,115,3,2
Apartamento,Barcelona,NA,El Raval,1400,34,1,1
Piso,Barcelona,Sant Antoni,calle Viladomat,1300,54,2,1
Piso,Barcelona,El Raval,calle Carretes,900,50,1,1
Piso,Barcelona,Sant Gervasi – La Bonanova,calle General Mitre,1400,48,2,1
Piso,Barcelona,El Congrés i els Indians,calle Concepción Arenal,1250,99,4,1
